# theta[deg]	neutral_n1	plasma_n1	neutral_n2	plasma_n2	neutral_n3	plasma_n3	neutral_n4	plasma_n4
1.31000000e+01	5.27233115e-01	4.79379577e-10	6.69786602e-01	3.50063923e-01	3.23232323e-01	4.76612160e-01	6.69786602e-01	3.88419858e-01
1.32000000e+01	5.26960784e-01	4.93537525e-10	6.74027842e-01	3.47813491e-01	3.21969697e-01	4.79189067e-01	6.74027842e-01	3.86610578e-01
1.33000000e+01	5.26688453e-01	5.08103574e-10	6.78295841e-01	3.45570701e-01	3.20707071e-01	4.81770506e-01	6.78295841e-01	3.84813164e-01
1.34000000e+01	5.26416122e-01	5.23089188e-10	6.82590711e-01	3.43335591e-01	3.19444444e-01	4.84356399e-01	6.82590711e-01	3.83027685e-01
1.35000000e+01	5.26143791e-01	5.38506137e-10	6.86912564e-01	3.41108199e-01	3.18181818e-01	4.86946664e-01	6.86912564e-01	3.81254209e-01
1.36000000e+01	5.25871460e-01	5.54366519e-10	6.91261514e-01	3.38888563e-01	3.16919192e-01	4.89541222e-01	6.91261514e-01	3.79492804e-01
1.37000000e+01	5.25599129e-01	5.70682756e-10	6.95637672e-01	3.36676720e-01	3.15656566e-01	4.92139992e-01	6.95637672e-01	3.77743540e-01
1.38000000e+01	5.25326797e-01	5.87467612e-10	7.00041153e-01	3.34472706e-01	3.14393939e-01	4.94742890e-01	7.00041153e-01	3.76006481e-01
1.39000000e+01	5.25054466e-01	6.04734197e-10	7.04472070e-01	3.32276557e-01	3.13131313e-01	4.97349835e-01	7.04472070e-01	3.74281696e-01
1.40000000e+01	5.24782135e-01	6.22495977e-10	7.08930537e-01	3.30088308e-01	3.11868687e-01	4.99960743e-01	7.08930537e-01	3.72569250e-01
1.41000000e+01	5.24509804e-01	6.40766785e-10	7.13416667e-01	3.27907993e-01	3.10606061e-01	5.02575530e-01	7.13416667e-01	3.70869207e-01
1.42000000e+01	5.24237473e-01	6.59560829e-10	7.17930575e-01	3.25735644e-01	3.09343434e-01	5.05194112e-01	7.17930575e-01	3.69181633e-01
1.43000000e+01	5.23965142e-01	6.78892702e-10	7.22472375e-01	3.23571296e-01	3.08080808e-01	5.07816404e-01	7.22472375e-01	3.67506591e-01
1.44000000e+01	5.23692810e-01	6.98777393e-10	7.27042182e-01	3.21414979e-01	3.06818182e-01	5.10442318e-01	7.27042182e-01	3.65844145e-01
1.45000000e+01	5.23420479e-01	7.19230298e-10	7.31640111e-01	3.19266726e-01	3.05555556e-01	5.13071770e-01	7.31640111e-01	3.64194358e-01
1.46000000e+01	5.23148148e-01	7.40267228e-10	7.36266277e-01	3.17126567e-01	3.04292929e-01	5.15704672e-01	7.36266277e-01	3.62557291e-01
1.47000000e+01	5.22875817e-01	7.61904421e-10	7.40920795e-01	3.14994532e-01	3.03030303e-01	5.18340936e-01	7.40920795e-01	3.60933007e-01
1.48000000e+01	5.22603486e-01	7.84158556e-10	7.45603781e-01	3.12870651e-01	3.01767677e-01	5.20980473e-01	7.45603781e-01	3.59321565e-01
1.49000000e+01	5.22331155e-01	8.07046760e-10	7.50315350e-01	3.10754952e-01	3.00505051e-01	5.23623196e-01	7.50315350e-01	3.57723027e-01
1.50000000e+01	5.22058824e-01	8.30586624e-10	7.55055620e-01	3.08647462e-01	2.99242424e-01	5.26269012e-01	7.55055620e-01	3.56137453e-01
1.51000000e+01	5.21786492e-01	8.54796211e-10	7.59824706e-01	3.06548210e-01	2.97979798e-01	5.28917834e-01	7.59824706e-01	3.54564900e-01
1.52000000e+01	5.21514161e-01	8.79694073e-10	7.64622724e-01	3.04457222e-01	2.96717172e-01	5.31569569e-01	7.64622724e-01	3.53005429e-01
1.53000000e+01	5.21241830e-01	9.05299258e-10	7.69449792e-01	3.02374524e-01	2.95454545e-01	5.34224127e-01	7.69449792e-01	3.51459096e-01
1.54000000e+01	5.20969499e-01	9.31631328e-10	7.74306026e-01	3.00300140e-01	2.94191919e-01	5.36881414e-01	7.74306026e-01	3.49925959e-01
1.55000000e+01	5.20697168e-01	9.58710370e-10	7.79191544e-01	2.98234097e-01	2.92929293e-01	5.39541339e-01	7.79191544e-01	3.48406075e-01
1.56000000e+01	5.20424837e-01	9.86557012e-10	7.84106463e-01	2.96176418e-01	2.91666667e-01	5.42203808e-01	7.84106463e-01	3.46899499e-01
1.57000000e+01	5.20152505e-01	1.01519243e-09	7.89050901e-01	2.94127125e-01	2.90404040e-01	5.44868727e-01	7.89050901e-01	3.45406288e-01
1.58000000e+01	5.19880174e-01	1.04463838e-09	7.94024976e-01	2.92086243e-01	2.89141414e-01	5.47536001e-01	7.94024976e-01	3.43926495e-01
